09:48:16 11 Dec 2015 - [Thread-0] DEBUG com.hp.hpl.jena.reasoner.rulesys.FBRuleInfGraph  - Adding rule [ (?x http://myonth.com/cricket/ontology#playedAgainest ?y) -> (?y rdf:type http://myonth.com/cricket/ontology#Team) ]
09:48:16 11 Dec 2015 - [Thread-0] DEBUG com.hp.hpl.jena.reasoner.rulesys.FBRuleInfGraph  - Adding rule [ (?x http://myonth.com/cricket/ontology#Following ?y) -> (?y rdf:type http://myonth.com/cricket/ontology#Team) ]
09:48:16 11 Dec 2015 - [Thread-0] DEBUG com.hp.hpl.jena.reasoner.rulesys.FBRuleInfGraph  - Adding rule [ (?x http://myonth.com/cricket/ontology#WonAgainst ?y) -> (?y rdf:type http://myonth.com/cricket/ontology#Team) ]
09:48:16 11 Dec 2015 - [Thread-0] DEBUG com.hp.hpl.jena.reasoner.rulesys.FBRuleInfGraph  - Adding rule [ (?x http://myonth.com/cricket/ontology#communicated ?y) -> (?y rdf:type http://myonth.com/cricket/ontology#Batsman) ]
09:48:16 11 Dec 2015 - [Thread-0] DEBUG com.hp.hpl.jena.reasoner.rulesys.FBRuleInfGraph  - Adding rule [ (?x http://myonth.com/cricket/ontology#captainOf ?y) -> (?y rdf:type http://myonth.com/cricket/ontology#Team) ]
09:48:16 11 Dec 2015 - [Thread-0] DEBUG com.hp.hpl.jena.reasoner.rulesys.FBRuleInfGraph  - Adding rule [ (?x http://myonth.com/cricket/ontology#hasAverage ?y) -> (?y rdf:type xsd:string) ]
09:48:16 11 Dec 2015 - [Thread-0] DEBUG com.hp.hpl.jena.reasoner.rulesys.FBRuleInfGraph  - Adding rule [ (?x http://myonth.com/cricket/ontology#hasWickets ?y) -> (?y rdf:type xsd:string) ]
09:48:16 11 Dec 2015 - [Thread-0] DEBUG com.hp.hpl.jena.reasoner.rulesys.FBRuleInfGraph  - Adding rule [ (?x http://myonth.com/cricket/ontology#hasSixes ?y) -> (?y rdf:type xsd:string) ]
09:48:16 11 Dec 2015 - [Thread-0] DEBUG com.hp.hpl.jena.reasoner.rulesys.FBRuleInfGraph  - Adding rule [ (?x http://myonth.com/cricket/ontology#struggled ?y) -> (?y rdf:type http://myonth.com/cricket/ontology#Team) ]
09:48:16 11 Dec 2015 - [Thread-0] DEBUG com.hp.hpl.jena.reasoner.rulesys.FBRuleInfGraph  - Adding rule [ (?x http://myonth.com/cricket/ontology#playedAt ?y) -> (?y rdf:type http://myonth.com/cricket/ontology#Stadium) ]
